Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
384,Os12g0555000,Os12t0555000-01,"Root-specific pathogenesis-related (PR) protein, Drought and salt stress response, Defense response (Os12t0555000-01)",chr12:22580880..22581936 (+ strand),RSOSPR10,ROOT-SPECIFIC ORYZA SATIVA PR10,Biological Process: abscisic acid-activated signaling pathway (GO:0009738)Molecular Function: abscisic acid binding (GO:0010427) protein phosphatase inhibitor activity (GO:0004864) signaling receptor activity (GO:0038023)
385,Os12g0572000,Os12t0572000-01,"R2R3-type MYB transcription factor, Adaptive growth, Salt tolerance (Os12t0572000-01)",chr12:23554928..23560551 (- strand),RS2,ROUGH SHEATH 2,
386,Os12g0572400,Os12t0572400-01 ; Os12t0572400-02,"SCL subfamily protein of serine/arginine (SR) -rich protein family, Negative regulation of tolerance to low temperature, drought and salt (Os12t0572400-01) Similar to Pre-mRNA splicing factor (Fragment). (Os12t0572400-02)",chr12:23589647..23593482 (- strand),SCL30B,SC35-LIKE PROTEIN 30B,Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
387,Os12g0583700,Os12t0583700-01,"TFIIIA-type zinc finger protein, Tolerance to salt and drought stresses (Os12t0583700-01)",chr12:24237377..24238380 (- strand),"ZOS12-09, ZFP252","ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 12-09, ZINC FINGER PROTEIN 252",Molecular Function: DNA-binding transcription factor activity (GO:0003700)
388,Os12g0617400,Os12t0617400-01,"9-cis-epoxycarotenoid dioxygenase, Control of ABA biosynthesis, Regulation of salt and water stress tolerance and leaf senescence (Os12t0617400-01)",chr12:26268230..26270792 (+ strand),NCED2,9-CIS-EPOXYCAROTENOID DIOXYGENASE 2,"Molecular Function: oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)"
389,Os12g0632700,Os12t0632700-01,"Malate dehydrogenase, Salt stress response (Os12t0632700-01)",chr12:27094649..27099336 (- strand),MDH12.1,MALATE DEHYDROGENASE 12.1,"Biological Process: carboxylic acid metabolic process (GO:0019752) malate metabolic process (GO:0006108) tricarboxylic acid cycle (GO:0006099)Molecular Function: catalytic activity (GO:0003824) L-malate dehydrogenase (NAD+) activity (GO:0030060) malate dehydrogenase activity (GO:0016615) oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)"
390,Os01g0348900,Os01t0348900-01,"Jacalin-related mannose-binding lectin, Salinity tolerance, Resistance to M. oryzae (Os01t0348900-01)",chr01:13903285..13904626 (- strand),SALT,SALT PROTEIN,Molecular Function: carbohydrate binding (GO:0030246)
391,Os11g0175500,Os11t0175500-01 ; Os11t0175500-02,"RING finger E3 ligase, Negative regulator in response to salinity (Os11t0175500-01) Zinc finger, RING/FYVE/PHD-type domain containing protein. (Os11t0175500-02)",chr11:3749274..3755192 (+ strand),SADR1,"SALT, ABA AND DROUGHT STRESS-INDUCED RING FINGER PROTEIN 1",Molecular Function: metal ion binding (GO:0046872)
392,Os11g0446000,Os11t0446000-01 ; Os11t0446000-02,"Conserved hypothetical protein. (Os11t0446000-01) Nuclear protein homologous to the regulatory domain of the R/B-like bHLH transcription factors, Regulation of jasmonate-induced gene expression and root cell elongation (Os11t0446000-02)",chr11:14785191..14789976 (+ strand),RSS3,RICE SALT SENSITIVE 3,
393,Os06g0183100,Os06t0183100-01 ; Os06t0183100-02,"B-type response regulator, Cytokinin signaling (Os06t0183100-01) B-type response regulator, Cytokinin signaling (Os06t0183100-02)",chr06:4137248..4142661 (+ strand),HST1,HITOMEBORE SALT TOLERANT 1,Biological Process: cytokinin-activated signaling pathway (GO:0009736) phosphorelay signal transduction system (GO:0000160)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
394,Os09g0109600,Os09t0109600-01,"Small peptide, Drought tolerance (Os09t0109600-01)",chr09:862654..863340 (+ strand),DSSR1,DROUGHT AND SALT STRESS RESPONSE 1,
395,Os01g0664100,Os01t0664100-01,"CorA-like ZnB magnesium transporter 1, Regulation of Na+ and Mg2+ homeostasis under salinity conditions (Os01t0664100-01)",chr01:27123488..27129361 (+ strand),STIL1,SALT-INSENSITIVE TILLING LINE 1,Biological Process: metal ion transport (GO:0030001) transmembrane transport (GO:0055085)Molecular Function: metal ion transmembrane transporter activity (GO:0046873)Cellular Component: membrane (GO:0016020)
396,Os02g0606700,Os02t0606700-01,"D-box containing protein, Regulation of the cell cycle, Maintenance of meristematic activity under stress conditions (Os02t0606700-01)",chr02:23769400..23772793 (+ strand),RSS1,RICE SALT SENSITIVE 1,
397,Os03g0272300,Os03t0272300-01 ; Os03t0272300-02,"Similar to protein binding protein. (Os03t0272300-01) RING-finger containing E3 ubiquitin ligase, Ortholog of Arabidopsis SDIR1, Drought tolerance (Os03t0272300-02)",chr03:9132796..9136698 (+ strand),,,
398,Os07g0575700,Os07t0575700-01,"Receptor-like kinase, Negative regulation of blast disease resistance, Regulation of JA-mediated terpenoid biosynthesis (Os07t0575700-01)",chr07:23282761..23284948 (- strand),SIT3,SALT INTOLERANCE 3,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) carbohydrate binding (GO:0030246) protein kinase activity (GO:0004672)
399,Os09g0325700,Os09t0325700-01,"Protein phosphatase 2C, Abiotic stress response, Early panicle development (Os09t0325700-01)",chr09:9567471..9568877 (+ strand),PP2C1,PROTEIN PHOSPHATASE 2C-1,Biological Process: protein dephosphorylation (GO:0006470)Molecular Function: cation binding (GO:0043169) protein serine/threonine phosphatase activity (GO:0004722)
400,Os01g0738100,Os01t0738100-00,"Peptidase C48, SUMO/Sentrin/Ubl1 domain containing protein. (Os01t0738100-00)",chr01:30788977..30796475 (- strand),OTS3,OVERLY TOLERANT TO SALT 3,Biological Process: proteolysis (GO:0006508)Molecular Function: cysteine-type peptidase activity (GO:0008234)
401,Os02g0150700,Os02t0150700-01,"RING finger E3 ligase, Regulation of abiotic stress tolerance (Os02t0150700-01)",chr02:2791281..2795406 (+ strand),,,Molecular Function: ubiquitin protein ligase activity (GO:0061630)
402,Os02g0606200,Os02t0606200-01,"Zinc finger protein with a B-box domain, Susceptibility (S) gene, Rice blast and bacterial blight resistance (Os02t0606200-01)",chr02:23759252..23760433 (+ strand),RNG1,RESISTANCE NEGATIVELY RELATED GENE 1,Molecular Function: zinc ion binding (GO:0008270)
403,Os02g0787300,Os02t0787300-01,"Mitogen-activated protein kinase kinase 4, Defense response, Cell proliferation, Grain growth (Os02t0787300-01)",chr02:33442070..33443948 (- strand),SMG1,SMALL GRAIN 1,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
404,Os04g0493000,Os04t0493000-01,"B-Box domain-containing protein 11, BBX transcription factor, Regulation of spikelet development and yield production (Os04t0493000-01)",chr04:24647989..24649391 (- strand),STO,SALT TOLERANCE,Molecular Function: zinc ion binding (GO:0008270)
405,Os05g0138300,Os05t0138300-01 ; Os05t0138300-03,"Similar to ICT protein (Fragment). (Os05t0138300-01) Hydrophobic protein homologous to Arabidopsis RCI2, Cold stress-response (Os05t0138300-03)",chr05:2219581..2220618 (- strand),LTI6B,LOW TEMPERATURE INDUCED GENE 6B,Cellular Component: membrane (GO:0016020)
406,Os05g0428700,Os05t0428700-01,"Potassium channel, Shaker K+ channel (Os05t0428700-01)",chr05:21039575..21044860 (- strand),AKT2,,Biological Process: monoatomic ion transport (GO:0006811) potassium ion transport (GO:0006813) transmembrane transport (GO:0055085)Molecular Function: monoatomic ion channel activity (GO:0005216) protein binding (GO:0005515) voltage-gated potassium channel activity (GO:0005249)Cellular Component: membrane (GO:0016020)
407,Os05g0572000,Os05t0572000-01,"AP2/ERF (APETALA 2/ethylene response factor) transcription factor, Negative regulation of plant height, Blue light inhibition of leaf sheath elongation (Os05t0572000-01)",chr05:28499327..28500571 (- strand),RPH1,REDUCED PLANT HEIGHT 1,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
408,Os06g0318700,Os06t0318700-01,"Makorin RING finger protein, RING E3 ligase, Pattern formation and organogenesis during embryogenesis and post-embryogenesis, Negative regulation of salinity stress response (Os06t0318700-01)",chr06:12352403..12358103 (+ strand),C3H41,ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 41,Biological Process: protein polyubiquitination (GO:0000209)Molecular Function: metal ion binding (GO:0046872) ubiquitin protein ligase activity (GO:0061630)
409,Os08g0135400,Os08t0135400-01,"C3HC4-type RING finger protein HC-2, E3-ubiquitin ligase, Salinity tolerance through low Na+ accumulation (Os08t0135400-01)",chr08:2007908..2011520 (+ strand),RFPHC-2,RING-HC PROTEIN 2,
410,OS01G0876100,Os01t0876100-01,"CLC-type chloride channel homologue, Osmotic adjustment at high salinity, Adaptation to salinity (Os01t0876100-01)",chr01:38017450..38022111 (+ strand),"OsCLC1 ; OsCBSCLC1, OsCLC1, CLC1 ; CBSCLC1","chloride channel 1 ; cystathionine b-synthase domain containing protein OsCBSCLC1, CBS domain containing protein OsCBSCLC1, CBS domain containing protein 1, ChLoride Channel 1 ; CYSTATHIONINE B-SYNTHASE DOMAIN CONTAINING CHLORIDE CHANNEL PROTEIN 1",Biological Process: chloride transport (GO:0006821) transmembrane transport (GO:0055085)Molecular Function: chloride transmembrane transporter activity (GO:0015108) voltage-gated chloride channel activity (GO:0005247)Cellular Component: membrane (GO:0016020)
411,OS11G0168600,Os11t0168600-01 ; Os11t0168600-02,"C-terminus of receptor-like cytoplasmic kinase, Salinity tolerance, Regulation of stomata response to stress (Os11t0168600-01) Receptor-like cytoplasmic kinase, Salinity tolerance, Regulation of stomata response to stress (Os11t0168600-02)",chr11:3314083..3316292 (+ strand),"OsRLCK311-ΔN, OsRLCK311 ; OsRLCK311 ; RLCK311",Receptor-like Cytoplasmic Kinase 311 ; RECEPTOR-LIKE CYTOPLASMIC KINASE 311,Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
412,OS01G0172200,Os01t0172200-01 ; Os01t0172200-02,"DNA/RNA helicase, DEAD/DEAH box type, N-terminal domain containing protein. (Os01t0172200-01) DEAD-box RNA helicase, Salinity stress tolerance (Os01t0172200-02)",chr01:3713687..3718631 (- strand),"OsDB10 ; OsRH14, p68, OsDB10, DB10","DEAD-box RNA helicase 10 ; RNA helicase 14, DEAD-box RNA helicase 10",Molecular Function: ATP binding (GO:0005524) nucleic acid binding (GO:0003676) protein binding (GO:0005515) RNA helicase activity (GO:0003724)
413,OS01G0200700,Os01t0200700-01,"Metallothionein-like protein, Tolerance to salinity and heavy metal stresses, Abiotic stress response (Os01t0200700-01)",chr01:5478545..5479749 (+ strand),"OsMT-3a ; OsMT3a, MT3a, OsMT-I-3a, MT-I-3a, MTe, met2, OsMT3, MT3, OsMTI-3a, MTI-3a ; MTI3A","MT-like type 3, metallothionein-like type 3 ; Metallothionein 3a, type 3 metallothionein a, metallothionein 2 ; METALLOTHIONEIN I-3A",Biological Process: intracellular copper ion homeostasis (GO:0006878)Molecular Function: copper ion binding (GO:0005507) zinc ion binding (GO:0008270)
414,OS01G0292700,Os01t0292700-01,"Intermediate filament, Cytoskeleton protein, Tolerance to salinity and heat stress (Os01t0292700-01)",chr01:10643287..10644848 (+ strand),"OsIF, OsIFL ; OsIFL, IFL, OsIF ; IF","Oryza sativa intermediate filament, intermediate filament like protein ; intermediate filament like protein, intermediate filament ; INTERMEDIATE FILAMENT",
415,OS01G0343300,Os01t0343300-01,"GATA transcription factor, Tolerance to abiotic stresses (salinity, drought, and ABA), Seed development (Os01t0343300-01)",chr01:13570702..13573119 (+ strand),"OsGATA8 ; OsGATA8, OsGATA14, GATA14, OsGATA8a, OsGATA8b, DLN10, OsDLN10 ; GATA8","GATA transcription factor 8, GATA factor 8, DLN repressor 10, DLN motif protein 10 ; GATA TRANSCRIPTION FACTOR 8",Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: sequence-specific DNA binding (GO:0043565) zinc ion binding (GO:0008270)
416,OS01G0348900,Os01t0348900-01,"Jacalin-related mannose-binding lectin, Salinity tolerance, Resistance to M. oryzae (Os01t0348900-01)",chr01:13903285..13904626 (- strand),"OsJRL, OsMBL1, OsSalt ; salT*(sal1), SalT1*, sal1, Sal1, SALT, ML, SalT, OsSalT, OsJRL, JRL, Osl43, OsL43, OsMBL1, MBL1, OsJRL01, JRL01, OsJRL1, JRL1 ; SALT","jacalin-related mannose-binding lectin, Mannose-Binding Lectin 1, salt response protein ; salt tolerance, Salt tolerance-1, Salt stress-induced protein, Salt protein, Protein lectin-like, Protein mannose-binding lectin, 15 kda organ-specific salt-induced protein, Orysata, jacalin-related mannose-binding lectin, Mannose-Binding Lectin 1, Jacalin-related lectin 1 ; SALT PROTEIN",Molecular Function: carbohydrate binding (GO:0030246)
417,OS01G0353400,Os01t0353400-01,"Glutathione S-transferase, Tolerance to salinity and oxidative stress, ROS-scavenging activity (Os01t0353400-01)",chr01:14167662..14168570 (+ strand),"OsGST4 ; OsGSTF11, OsGST4 ; GSTF11",glutathione S-transferase 4 ; PHI GLUTATHIONE S-TRANSFERASE 11,
418,OS01G0633400,Os01t0633400-01,"Cystathionine beta-synthase domain containing protein, Regulation of abiotic stress tolerance, Tolerance to drought and salinity stress (Os01t0633400-01)",chr01:25368481..25371006 (+ strand),"OsCBSCBS4 ; OsCBSX10, CBSCBS4, OsCBSCBS4 ; CBSX10","cystathionine b-synthase domain containing protein OsCBSX10, CBS domain containing protein OsCBSX10",
419,OS01G0656200,Os01t0656200-01,"Protein phosphatase 2C family protein, Salinity tolerance in the seedling stage (Os01t0656200-01)",chr01:26652966..26658299 (+ strand),"OsPP2C8 ; OsPP2C08, PP2C08, OsPP2C8, OsPP12 ; PP2C8","protein phosphatase 2C8 ; protein phosphatase 2C08, protein phosphatase 2C 08, protein phosphatase 2C8, protein phosphatase 2C 8, protein phosphatase 12 ; PROTEIN PHOSPHATASE 2C8",Biological Process: protein dephosphorylation (GO:0006470)Molecular Function: cation binding (GO:0043169) protein serine/threonine phosphatase activity (GO:0004722)
420,OS01G0664100,Os01t0664100-01,"CorA-like ZnB magnesium transporter 1, Regulation of Na+ and Mg2+ homeostasis under salinity conditions (Os01t0664100-01)",chr01:27123488..27129361 (+ strand),"OsCZMT1 ; OsCZMT1, OsSTIL1, OsMGT ; STIL1","CorA-like ZnB magnesium transporter 1 ; salt-insensitive TILLING line 1, CorA-like ZnB magnesium transporter 1 ; SALT-INSENSITIVE TILLING LINE 1",Biological Process: metal ion transport (GO:0030001) transmembrane transport (GO:0055085)Molecular Function: metal ion transmembrane transporter activity (GO:0046873)Cellular Component: membrane (GO:0016020)
421,OS01G0756700,Os01t0756700-01,"Shaker potassium channel, Salinity stress tolerance, Ion homeostasis (Os01t0756700-01)",chr01:31761223..31763887 (+ strand),"KAT1, OsKAT1 ; OsKAT1, OsKAT3 ; KAT1","SHAKER POTASSIUM CHANNEL 1, shaker potassium channel OsKAT1 ; shaker potassium channel OsKAT1 ; SHAKER POTASSIUM CHANNEL 1",Biological Process: monoatomic ion transport (GO:0006811) potassium ion transport (GO:0006813) transmembrane transport (GO:0055085)Molecular Function: monoatomic ion channel activity (GO:0005216) voltage-gated potassium channel activity (GO:0005249)Cellular Component: membrane (GO:0016020)
422,OS01G0837500,Os01t0837500-01 ; Os01t0837500-02,"ATPase and DNA helicase, Rice homolog of RuvB1, Salinity and drought stress tolerance (Os01t0837500-01) Similar to DNA helicase, TBP-interacting protein. (Os01t0837500-02)",chr01:35902972..35908325 (+ strand),"OsRuvBL1a ; OsRuvBL1a, RuvBL1a, RUVBL1A","RuvB-like 1a ; RuvB-like protein 1a, RuvB-like 1a","Molecular Function: ATP binding (GO:0005524) ATP hydrolysis activity (GO:0016887) ATP-dependent activity, acting on DNA (GO:0008094)"
423,OS01G0847200,Os01t0847200-01 ; Os01t0847200-02,"Mannose-1-phosphate guanyl transferase, GDP-mannose pyrophosphorylase, Salinity stress tolerance, Ascorbic acid synthesis (Os01t0847200-01) Similar to Mannose-1-phosphate guanyltransferase (EC 2.7.7.13) (ATP-mannose-1- phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (NDP- hexose pyrophosphorylase). (Os01t0847200-02)",chr01:36395486..36398031 (+ strand),"OsMPG1, OsVTC1-1 ; OsMPG1, OsVTC1-1, VTC1-1 ; MPG1",mannose-1-phosphate guanyl transferase 1 ; MANNOSE-1-PHOSPHATE GUANYL TRANSFERASE 1,Biological Process: biosynthetic process (GO:0009058) GDP-mannose biosynthetic process (GO:0009298)Molecular Function: GTP binding (GO:0005525) mannose-1-phosphate guanylyltransferase (GTP) activity (GO:0004475) transferase activity (GO:0016740)
424,OS01G0975300,Os01t0975300-01 ; Os01t0975300-02,"MYB-related transcription factor, Drought and salinity tolerance (Os01t0975300-01) Similar to Myb factor protein. (Os01t0975300-02)",chr01:43096401..43097949 (+ strand),"OsMYB48, OsMYB48-1, OsMYB48-2 ; OsMYB48, OsMYB48-1, OsMYB48-2, OsMYB59, MYB59, Os2R_MYB19, 2R_MYB19, MYB2-21, OsMYB2-21 ; MYB48","MYB transcription factor 48 ; MYB transcription factor 48, R2R3-MYB Transcription Factor 19, R2R3-MYB transcription factor 2-21 ; MYB TRANSCRIPTION FACTOR 48",
425,OS02G0132300,Os02t0132300-01 ; Os02t0132300-02 ; Os02t0132300-03,"C4HC3 RING-type E3-ubiquitin ligase, Positive regulation of salinity response via Na+ uptake (Os02t0132300-01) Similar to Erythrocyte membrane protein PFEMP3 (Fragment). (Os02t0132300-02) Similar to Erythrocyte membrane protein PFEMP3 (Fragment). (Os02t0132300-03)",chr02:1680213..1689438 (+ strand),"OsRFPv6 ; OsRFPV-6, OsRFPv6, OsRING135, RING135 ; RFPV6","RING finger protein v6 ; RING finger protein OsRFPV-6, RING-V protein 6, RING-type E3 ubiquitin ligase 135, RING finger protein v6 ; RING FINGER PROTEIN V6",Molecular Function: zinc ion binding (GO:0008270)
426,OS02G0180700,Os02t0180700-01,"Cinnamoyl-CoA reductase 21, Response to biotic and abiotic stresses (M. grisea and Xoo infections, UV irradiation and high salinity) (Os02t0180700-01)",chr02:4497115..4500124 (+ strand),OsCCR21 ; CCR21,Cinnamoyl-CoA reductase 21 ; cinnamoyl CoA reductase 21 ; CINNAMOYL-COA REDUCTASE 21,
427,OS02G0327000,Os02t0327000-01 ; Os02t0327000-02,"GTPase activating protein 1, Salinity stress tolerance, Abiotic stress response (Os02t0327000-01) C2 domain containing protein. (Os02t0327000-02)",chr02:13173784..13176182 (+ strand),"OsGAP1 ; OsGAP1, GAP1, OsC2DP16 ; C2DP16","GTPase activating protein 1 ; GTPase-activating protein 1, C2 Domain-Containing Protein 16 ; C2 DOMAIN-CONTAINING PROTEIN 16",
428,OS02G0543000,Os02t0543000-01 ; Os02t0543000-02 ; Os02t0543000-03 ; Os02t0543000-04 ; Os02t0543000-05,"Abscisic stress-ripening protein 1, Regulation of resistance to bacterial leaf streak (Os02t0543000-01) Hypothetical conserved gene. (Os02t0543000-02) Similar to Abscisic stress ripening protein 1. (Os02t0543000-03) ""Abscisic acid-, stress-, and ripening-induced (ASR) protein"", ABA-mediated regulation of stomatal closure, Salinity and drought tolerance (Os02t0543000-04) Abscisic stress ripening protein 1. (Os02t0543000-05)",chr02:20165664..20166649 (- strand),"ASR1, OsRBLS2, OsASR1 ; ASR1, OsAsr1, OsASR3, ASR3, Asr3, OsRBLS2 ; RBLS2","abscisic stress-ripening 1, resistance to bacterial leaf streak 2, ""Abscisic acid-, stress-, and ripening-induced protein 1"" ; Abiotic Stress Responsive 3, ""ABA-, stress and ripening-induced protein 3"", ""abscisic acid-, stress- and ripening (ASR) gene 3"", resistance to bacterial leaf streak 2 ; RESISTANCE TO BACTERIAL LEAF STREAK 2",
429,OS03G0219200,Os03t0219200-01,"CuZn superoxide dismutase, Response to salinity, drought, and oxidative stress (Os03t0219200-01)",chr03:6271895..6275386 (- strand),"OsCSD3 ; OsSOD2, OsSOD2-Cu/Zn, SOD2-Cu/Zn, OsCSD3, CSD3, CuZnSOD3, OsCSD2, CSD2, Cu/Zn-SOD2 ; SOD2","CuZn superoxide dismutase 3, CuZn SOD3 ; superoxide dismutase 2, Copper/zinc Superoxide Dismutase 2, copper-zinc superoxide dismutase 2 ; SUPEROXIDE DISMUTASE 2",Biological Process: superoxide metabolic process (GO:0006801)Molecular Function: copper ion binding (GO:0005507) metal ion binding (GO:0046872)
430,OS03G0332400,Os03t0332400-01,"Glyoxalase II (S-2-hydroxyacyl glutathione hydrolase), Salinity adaptation, Abiotic stress tolerance (Os03t0332400-01)",chr03:12263473..12266428 (- strand),"GLYII-2, OsGLYII2, GLYII2, OsGLYII-2 ; OsGLYII2, GLYII2, OsGLYII-2 ; GLYII-2","GLYOXALASE II-2, glyoxalase II-2 ; glyoxalase II-2 ; GLYOXALASE II-2",Biological Process: methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione (GO:0019243)Molecular Function: hydroxyacylglutathione hydrolase activity (GO:0004416)
431,OS03G0576200,Os03t0576200-01,"High affinity K+ transporter (HAK), Maintenance of ion homeostasis, Salinity tolerance (Os03t0576200-01)",chr03:21060413..21064968 (- strand),OsHAK21 ; HAK21,"High-affinity Potassium(K+) Transporter 21, Potassium transporter 21 ; HIGH-AFFINITY POTASSIUM(K+) TRANSPORTER 21",Biological Process: potassium ion transmembrane transport (GO:0071805)Molecular Function: potassium ion transmembrane transporter activity (GO:0015079)Cellular Component: membrane (GO:0016020)
432,OS03G0635100,Os03t0635100-01,"Heterotrimeric G protein gamma subunit 1, Regulation of abiotic stresses, Salinity stress tolerance (Os03t0635100-01)",chr03:24252686..24256939 (- strand),RGG1 ; OsRGG1,"heterotrimeric G-protein gamma subunit 1, G protein gamma1 subunit, rice G protein gamma subunit 1, G protein gamma subunit 1 ; RICE G PROTEIN GAMMA SUBUNIT 1",Biological Process: G protein-coupled receptor signaling pathway (GO:0007186)
433,OS03G0746500,Os03t0746500-01 ; Os03t0746500-02,"NTP-dependent DNA/RNA helicase, Salinity stress tolerance (Os03t0746500-01) Similar to predicted protein. (Os03t0746500-02)",chr03:30679685..30689225 (- strand),"OsSUV3, SUV3","SUV3 helicase, suppressor of Var 3",Molecular Function: ATP binding (GO:0005524) RNA helicase activity (GO:0003724)
434,OS03G0820400,Os03t0820400-01,"C2H2-type zinc finger protein, Positive regulation of of ABA catabolism, Salinity and drought tolerance, Seed germination (Os03t0820400-01)",chr03:34427704..34428391 (+ strand),"OsZFP15 ; ZFP 15, OsZFP15, OsZOS3-22 ; ZFP15, ZOS3-22","zinc finger protein 15 ; zinc finger protein ZFP15, ZOS3-22-C2H2 zinc finger protein, zinc-finger protein TFIIIA class of Oryza sativa 3-22, ZPT of Oryza sativa 3-22 ; ZINC FINGER PROTEIN 15, ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 3-22",
435,OS04G0201500,Os04t0201500-01,"Amino acid transporter, Mediation of heterosis for salinity tolerance (Os04t0201500-01)",chr04:6913166..6927139 (- strand),OsAAT30 ; AAT30,amino acid transporter 30 ; AMINO ACID TRANSPORTER 30,
436,OS04G0348400,Os04t0348400-01,"U-box type E3 ubiquitin ligase, Negative regulation of drought and salinity stress (Os04t0348400-01)",chr04:16590486..16593924 (- strand),"OsPUB7 ; OsPUB7, OsPUB07, PUB07 ; PUB7","Plant U-box gene 7 ; plant U-box-containing protein 7, U-box protein 7, U-box-type E3 ubiquitin ligase 7 ; PLANT U-BOX-CONTAINING PROTEIN 7",Biological Process: protein ubiquitination (GO:0016567)Molecular Function: protein binding (GO:0005515) ubiquitin-protein transferase activity (GO:0004842)
437,OS04G0465600,Os04t0465600-01,"Major latex protein, Bet v1 family protein, Positive regulation of drought and salinity tolerance (Os04t0465600-01)",chr04:23278475..23279374 (+ strand),OsMLP423 ; MLP423,Major latex protein 423 ; major latex protein 423 ; MAJOR LATEX PROTEIN 423,Biological Process: abscisic acid-activated signaling pathway (GO:0009738) defense response (GO:0006952)Molecular Function: abscisic acid binding (GO:0010427) protein phosphatase inhibitor activity (GO:0004864) signaling receptor activity (GO:0038023)
438,OS04G0571200,Os04t0571200-01,"RING H2-type E3 ligase, Salinity tolerance (Os04t0571200-01)",chr04:28744397..28747841 (+ strand),"OsSIRH2-14, OsRFPH2-14 ; OsRFPH2-14, OsRING130, RING130","RING finger protein OsRFPH2-14, RING-H2 protein 14, RING-type E3 ubiquitin ligase 130",Biological Process: negative regulation of organ growth (GO:0046621) protein ubiquitination (GO:0016567)Molecular Function: ubiquitin-protein transferase activity (GO:0004842)
439,OS04G0578600,Os04t0578600-01 ; Os04t0578600-02,"Similar to H0404F02.15 protein. (Os04t0578600-01) Ferric reductase oxidase, Iron homeostasis, ""Drought, heat, salinity stress response"" (Os04t0578600-02)",chr04:29178862..29181665 (- strand),"OsFRO2, OsFRO1 ; FRO2","Ferric reductase oxidase 2, ferric reductase oxidase 1 ; ferric reductase oxidase 2 ; FERRIC REDUCTASE 2",Molecular Function: oxidoreductase activity (GO:0016491)
440,OS04G0671700,Os04t0671700-01,"DJ-1/Pfp1 domain containing glyoxalase III, Drought and salinity stress tolerance, Positive regulation of abiotic stress responses (Os04t0671700-01)",chr04:34267955..34270846 (- strand),"OsDJ-1C ; OsDJ-1C, DJ-1C, OsDJ-1C.1, OsDJ-1C.2, OsDJ-1C.3","DJ-1/PfpI domain containing protein C ; DJ-1/PfpI domain containing protein C, DJ-1 protein C",
441,OS06G0318700,Os06t0318700-01,"Makorin RING finger protein, RING E3 ligase, Pattern formation and organogenesis during embryogenesis and post-embryogenesis, Negative regulation of salinity stress response (Os06t0318700-01)",chr06:12352403..12358103 (+ strand),"MKRN, OsSIRP3 ; OsC3H41, MKRN, OsRING387, RING387, OsCPSF30-L3, CPSF30-L3 ; C3H41","Makorin RING finger protein, salt-induced RING finger protein 3 ; E3 ubiquitin-protein ligase makorin, Zinc finger CCCH domain-containing protein 41, RING-type E3 ubiquitin ligase 387, 30 kDa subunit of cleavage and polyadenylation specificity factor longer isoform 3, CLEAVAGE AND POLYADENYLATION SPECIFICITY FACTOR 30 longer isoform 3 ; ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 41",Biological Process: protein polyubiquitination (GO:0000209)Molecular Function: metal ion binding (GO:0046872) ubiquitin protein ligase activity (GO:0061630)
442,OS07G0186200,Os07t0186200-01,"S-Domain receptor like kinase-SIK2, Abiotic stress tolerance, Drought and salinity tolerance by modulating antioxidant capacity and eliminating H2O2 (Os07t0186200-01)",chr07:4593094..4595607 (- strand),"SDRLK-SIK2, SIK2, OsSIK2, YK14 ; OsSIK2, YK14, SDRLK-SIK2, OsSDRLK-SIK2 ; SIK2","S-Domain receptor like kinase-SIK2, STRESS INDUCED PROTEIN KINASE 2 ; S-Domain receptor like kinase-SIK2 ; STRESS INDUCED PROTEIN KINASE 2",Biological Process: protein phosphorylation (GO:0006468) recognition of pollen (GO:0048544)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672) protein serine/threonine kinase activity (GO:0004674)
